t,x,u
0.00000000,2.35005857,0.71143220
0.00000000,2.35619449,0.70710678
0.00000000,2.36233041,0.70275474
0.00000000,2.36846634,0.69837625
0.00000000,2.37460226,0.69397146
0.00000000,2.38073818,0.68954054
0.00000000,2.38687411,0.68508367
0.00000000,2.39301003,0.68060100
0.00000000,2.39914595,0.67609270
0.00000000,2.40528188,0.67155895
0.00000000,2.41141780,0.66699992
0.00000000,2.41755372,0.66241578
0.00000000,2.42368964,0.65780669
0.00000000,2.42982557,0.65317284
0.00000000,2.43596149,0.64851440
0.00000000,2.44209741,0.64383154
0.00000000,2.44823334,0.63912444
0.00000000,2.45436926,0.63439328
0.00000000,2.46050518,0.62963824
0.00000000,2.46664111,0.62485949
0.00000000,2.47277703,0.62005721
0.00000000,2.47891295,0.61523159
0.00000000,2.48504888,0.61038281
0.00000000,2.49118480,0.60551104
0.00000000,2.49732072,0.60061648
0.00000000,2.50345665,0.59569930
0.00000000,2.50959257,0.59075970
0.00000000,2.51572849,0.58579786
0.00000000,2.52186442,0.58081396
0.00000000,2.52800034,0.57580819
0.00000000,2.53413626,0.57078075
0.00000000,2.54027218,0.56573181
0.00000000,2.54640811,0.56066158
0.00000000,2.55254403,0.55557023
0.00000000,2.55867995,0.55045797
0.00000000,2.56481588,0.54532499
0.00000000,2.57095180,0.54017147
0.00000000,2.57708772,0.53499762
0.00000000,2.58322365,0.52980362
0.00000000,2.58935957,0.52458968
0.00000000,2.59549549,0.51935599
0.00000000,2.60163142,0.51410274
0.00000000,2.60776734,0.50883014
0.00000000,2.61390326,0.50353838
0.00000000,2.62003919,0.49822767
0.00000000,2.62617511,0.49289819
0.00000000,2.63231103,0.48755016
0.00000000,2.63844696,0.48218377
0.00000000,2.64458288,0.47679923
0.00000000,2.65071880,0.47139674
0.00000000,2.65685472,0.46597650
0.00000000,2.66299065,0.46053871
0.00000000,2.66912657,0.45508359
0.00000000,2.67526249,0.44961133
0.00000000,2.68139842,0.44412214
0.00000000,2.68753434,0.43861624
0.00000000,2.69367026,0.43309382
0.00000000,2.69980619,0.42755509
0.00000000,2.70594211,0.42200027
0.00000000,2.71207803,0.41642956
0.00000000,2.71821396,0.41084317
0.00000000,2.72434988,0.40524131
0.00000000,2.73048580,0.39962420
0.00000000,2.73662173,0.39399204
0.00000000,2.74275765,0.38834505
0.00000000,2.74889357,0.38268343
0.00000000,2.75502950,0.37700741
0.00000000,2.76116542,0.37131719
0.00000000,2.76730134,0.36561300
0.00000000,2.77343726,0.35989504
0.00000000,2.77957319,0.35416353
0.00000000,2.78570911,0.34841868
0.00000000,2.79184503,0.34266072
0.00000000,2.79798096,0.33688985
0.00000000,2.80411688,0.33110631
0.00000000,2.81025280,0.32531029
0.00000000,2.81638873,0.31950203
0.00000000,2.82252465,0.31368174
0.00000000,2.82866057,0.30784964
0.00000000,2.83479650,0.30200595
0.00000000,2.84093242,0.29615089
0.00000000,2.84706834,0.29028468
0.00000000,2.85320427,0.28440754
0.00000000,2.85934019,0.27851969
0.00000000,2.86547611,0.27262136
0.00000000,2.87161203,0.26671276
0.00000000,2.87774796,0.26079412
0.00000000,2.88388388,0.25486566
0.00000000,2.89001980,0.24892761
0.00000000,2.89615573,0.24298018
0.00000000,2.90229165,0.23702361
0.00000000,2.90842757,0.23105811
0.00000000,2.91456350,0.22508391
0.00000000,2.92069942,0.21910124
0.00000000,2.92683534,0.21311032
0.00000000,2.93297127,0.20711138
0.00000000,2.93910719,0.20110463
0.00000000,2.94524311,0.19509032
0.00000000,2.95137904,0.18906866
0.00000000,2.95751496,0.18303989
0.00000000,2.96365088,0.17700422
0.00000000,2.96978681,0.17096189
0.00000000,2.97592273,0.16491312
0.00000000,2.98205865,0.15885814
0.00000000,2.98819457,0.15279719
0.00000000,2.99433050,0.14673047
0.00000000,3.00046642,0.14065824
0.00000000,3.00660234,0.13458071
0.00000000,3.01273827,0.12849811
0.00000000,3.01887419,0.12241068
0.00000000,3.02501011,0.11631863
0.00000000,3.03114604,0.11022221
0.00000000,3.03728196,0.10412163
0.00000000,3.04341788,0.09801714
0.00000000,3.04955381,0.09190896
0.00000000,3.05568973,0.08579731
0.00000000,3.06182565,0.07968244
0.00000000,3.06796158,0.07356456
0.00000000,3.07409750,0.06744392
0.00000000,3.08023342,0.06132074
0.00000000,3.08636935,0.05519524
0.00000000,3.09250527,0.04906767
0.00000000,3.09864119,0.04293826
0.00000000,3.10477711,0.03680722
0.00000000,3.11091304,0.03067480
0.00000000,3.11704896,0.02454123
0.00000000,3.12318488,0.01840673
0.00000000,3.12932081,0.01227154
0.00000000,3.13545673,0.00613588
0.00000000,3.14159265,0.00000000
0.00000000,3.14772858,-0.00613588
0.00000000,3.15386450,-0.01227154
0.00000000,3.16000042,-0.01840673
0.00000000,3.16613635,-0.02454123
0.00000000,3.17227227,-0.03067480
0.00000000,3.17840819,-0.03680722
0.00000000,3.18454412,-0.04293826
0.00000000,3.19068004,-0.04906767
0.00000000,3.19681596,-0.05519524
0.00000000,3.20295189,-0.06132074
0.00000000,3.20908781,-0.06744392
0.00000000,3.21522373,-0.07356456
0.00000000,3.22135965,-0.07968244
0.00000000,3.22749558,-0.08579731
0.00000000,3.23363150,-0.09190896
0.00000000,3.23976742,-0.09801714
0.00000000,3.24590335,-0.10412163
0.00000000,3.25203927,-0.11022221
0.00000000,3.25817519,-0.11631863
0.00000000,3.26431112,-0.12241068
0.00000000,3.27044704,-0.12849811
0.00000000,3.27658296,-0.13458071
0.00000000,3.28271889,-0.14065824
0.00000000,3.28885481,-0.14673047
0.00000000,3.29499073,-0.15279719
0.00000000,3.30112666,-0.15885814
0.00000000,3.30726258,-0.16491312
0.00000000,3.31339850,-0.17096189
0.00000000,3.31953442,-0.17700422
0.00000000,3.32567035,-0.18303989
0.00000000,3.33180627,-0.18906866
0.00000000,3.33794219,-0.19509032
0.00000000,3.34407812,-0.20110463
0.00000000,3.35021404,-0.20711138
0.00000000,3.35634996,-0.21311032
0.00000000,3.36248589,-0.21910124
0.00000000,3.36862181,-0.22508391
0.00000000,3.37475773,-0.23105811
0.00000000,3.38089366,-0.23702361
0.00000000,3.38702958,-0.24298018
0.00000000,3.39316550,-0.24892761
0.00000000,3.39930143,-0.25486566
0.00000000,3.40543735,-0.26079412
0.00000000,3.41157327,-0.26671276
0.00000000,3.41770920,-0.27262136
0.00000000,3.42384512,-0.27851969
0.00000000,3.42998104,-0.28440754
0.00000000,3.43611696,-0.29028468
0.00000000,3.44225289,-0.29615089
0.00000000,3.44838881,-0.30200595
0.00000000,3.45452473,-0.30784964
0.00000000,3.46066066,-0.31368174
0.00000000,3.46679658,-0.31950203
0.00000000,3.47293250,-0.32531029
0.00000000,3.47906843,-0.33110631
0.00000000,3.48520435,-0.33688985
0.00000000,3.49134027,-0.34266072
0.00000000,3.49747620,-0.34841868
0.00000000,3.50361212,-0.35416353
0.00000000,3.50974804,-0.35989504
0.00000000,3.51588397,-0.36561300
0.00000000,3.52201989,-0.37131719
0.00000000,3.52815581,-0.37700741
0.00000000,3.53429174,-0.38268343
0.00000000,3.54042766,-0.38834505
0.00000000,3.54656358,-0.39399204
0.00000000,3.55269950,-0.39962420
0.00000000,3.55883543,-0.40524131
0.00000000,3.56497135,-0.41084317
0.00000000,3.57110727,-0.41642956
0.00000000,3.57724320,-0.42200027
0.00000000,3.58337912,-0.42755509
0.00000000,3.58951504,-0.43309382
0.00000000,3.59565097,-0.43861624
0.00000000,3.60178689,-0.44412214
0.00000000,3.60792281,-0.44961133
0.00000000,3.61405874,-0.45508359
0.00000000,3.62019466,-0.46053871
0.00000000,3.62633058,-0.46597650
0.00000000,3.63246651,-0.47139674
0.00000000,3.63860243,-0.47679923
